CP,Colonia,RACH-F,RAN-F,RAT-F,RDV-F,RCV-F,RACH-S,RAN-S,RAT-S,RDV-S,RCV-S,Fecha
37550,Bosques Reales,0,0,0,0,0,0,0,0,0,0,1/2025
37100,Brisas de Echeveste,0,0,0,0,0,0,0,0,0,0,1/2025
37297,Brisas de San Francisco,0,0,0,0,0,0,0,0,0,0,1/2025
37297,Brisas de San Nicolás,4,0,0,0,0,0,0,0,0,0,1/2025
37669,Brisas del Campestre,0,0,0,0,0,0,0,0,0,0,1/2025
37297,Brisas del Campo,0,0,0,0,0,0,0,0,0,0,1/2025
37297,Brisas del Campo II,0,0,0,0,0,0,0,0,0,0,1/2025
37297,Brisas del Carmen,0,0,0,2,0,0,0,0,0,0,1/2025
37207,Brisas del Lago,0,0,0,0,0,0,0,0,0,0,1/2025
37295,Brisas del Pedregal,0,0,0,0,0,0,0,0,0,0,1/2025
37353,Brisas del Sol,0,0,0,0,0,0,0,0,0,0,1/2025
37238,Brisas del Vergel,0,0,0,0,0,0,0,0,0,0,1/2025
37669,Buenaventura,0,0,0,0,0,0,0,0,0,0,1/2025
37420,Buenavista,0,0,0,0,0,0,0,0,0,0,1/2025
37479,Buenos Aires,0,0,0,0,0,0,0,0,0,0,1/2025
37270,Bugambilias,2,2,0,0,2,0,0,0,0,0,1/2025
37294,Cabo Metropolitano,0,0,0,0,0,0,0,0,0,0,1/2025
37680,Camino a los Pirules,0,0,0,0,0,0,0,0,0,0,1/2025
37357,Camino a San Juan,0,0,0,0,0,0,0,0,0,0,1/2025
37538,Campestre de Jerez,0,0,0,0,0,0,0,0,0,0,1/2025
37696,Campestre el Rodeo (Lomas del Rodeo),0,0,0,0,0,0,0,0,0,0,1/2025
37547,Campestre el Trébol,0,0,0,0,0,0,0,0,0,0,1/2025
37539,Campestre Nuevo Jerez,0,0,0,0,0,0,0,0,0,0,1/2025
37683,Campestre Rústico los Sauces,0,0,0,0,0,0,0,0,0,0,1/2025
37295,Campo Fuerte Residencial,0,0,0,0,0,0,0,0,0,0,1/2025
37434,Campo Verde,0,0,0,0,0,0,0,0,0,0,1/2025
37290,Campo Viña,0,0,0,0,0,0,0,0,0,0,1/2025
37238,Cañada de Alfaro,0,4,0,0,2,0,0,0,0,0,1/2025
37538,Cañada de Jerez,0,0,0,0,0,0,0,0,0,0,1/2025
37150,Cañada del Campestre,0,0,0,0,0,0,0,0,0,0,1/2025
37357,Cañada del Real,0,0,0,0,2,0,0,0,0,0,1/2025
37358,Cañada del Refugio,0,2,0,0,2,0,0,0,0,0,1/2025
37358,Cañada Diamante,0,0,0,0,0,0,0,0,0,0,1/2025
37669,Canah,0,0,0,0,0,0,0,0,0,0,1/2025
37668,Candora,0,0,0,0,0,0,0,0,0,0,1/2025
37654,Canelas,0,0,0,0,0,0,0,0,0,0,1/2025
37209,Cañón de La India,0,0,0,0,0,0,0,0,0,0,1/2025
37209,Cantarranas,0,0,0,0,0,0,0,0,0,0,1/2025
37100,Canteritas de Echeveste,0,0,0,0,0,0,0,0,0,0,1/2025
37547,Capellanía,0,0,0,0,0,0,0,0,0,0,1/2025
37685,Capellanía de Loera,0,0,0,0,0,0,0,0,0,0,1/2025
37689,Capellanía de San Sebastián,0,0,0,0,0,0,0,0,0,0,1/2025
37544,Capittala,0,0,0,0,0,0,0,0,0,0,1/2025
37210,Carmena,0,0,0,0,0,0,0,0,0,0,1/2025
37358,Cartagena,0,0,0,0,0,0,0,0,0,0,1/2025
37170,Casa Blanca,0,0,0,0,0,0,0,0,0,0,1/2025
37120,Casa de Piedra,0,2,0,0,0,0,0,0,0,0,1/2025
37545,Castello ll,0,0,0,0,0,0,0,0,0,0,1/2025
37209,Castillos Viejos,0,0,0,0,0,0,0,0,0,0,1/2025
37669,Cataluña,0,0,0,0,0,0,0,0,0,0,1/2025
37557,Caudal del Río,0,0,0,0,0,0,0,0,0,0,1/2025
37560,Cementos,0,0,0,0,0,0,0,0,0,0,1/2025
37490,Central de Abastos,0,0,0,0,0,0,0,0,0,0,1/2025
37000,Centro,2,6,0,0,4,0,0,0,0,0,1/2025
37227,Centro Bodeguero las Trojes,0,2,0,0,0,0,0,0,0,0,1/2025
37564,Centro de Prevención Social,0,0,0,0,0,0,0,0,0,0,1/2025
37357,Centro Familiar La Piedad,0,0,0,0,0,0,0,0,0,0,1/2025
37357,Centro Familiar Soledad,0,0,0,0,0,0,0,0,0,0,1/2025
37353,Cerrito Amarillo,0,0,0,0,0,0,0,0,0,0,1/2025
37353,Cerrito de Guadalupe,0,0,0,0,0,0,0,0,0,0,1/2025
37530,Cerrito de Jerez,0,6,0,0,2,0,0,0,0,0,1/2025
37353,Cerrito de La Joya,0,0,0,0,0,0,0,0,0,0,1/2025
37698,Cerro Alto,0,0,0,0,0,0,0,0,0,0,1/2025
37353,Chalet La Cumbre,0,0,0,0,0,0,0,0,0,0,1/2025
37340,Chapalita,2,0,0,0,0,0,0,0,0,0,1/2025
37427,Chulavista Pro Vivienda Obrera,0,0,0,0,0,0,0,0,0,0,1/2025
37204,Cibeles,0,0,0,0,0,0,0,0,0,0,1/2025
37353,Cima Diamante,0,0,0,0,0,0,0,0,0,0,1/2025
37683,Cipreses,0,0,0,0,0,0,0,0,0,0,1/2025
37110,Ciudad Aurora,0,2,0,0,2,0,0,0,0,0,1/2025
37564,Ciudad Industrial,0,4,0,0,4,0,0,0,0,0,1/2025
37400,Ciudad Satélite,0,2,0,0,2,0,0,0,0,0,1/2025
37299,Club Hípico,0,0,0,0,0,0,0,0,0,0,1/2025
37287,Club Loyola,0,0,0,0,0,0,0,0,0,0,1/2025
37355,Colina de La Hacienda,0,0,0,0,0,0,0,0,0,0,1/2025
37353,Colina Real,0,0,0,0,2,0,0,0,0,0,1/2025
37134,Colinas de Gran Jardín,0,0,0,0,0,0,0,0,0,0,1/2025
37358,Colinas de la Fragua,0,0,0,0,0,0,0,0,0,0,1/2025
37358,Colinas de La Fragua Plus,0,0,0,0,0,0,0,0,0,0,1/2025
37430,Colinas de León,0,0,0,0,0,0,0,0,0,0,1/2025
37210,Colinas de Plata,0,2,0,0,2,0,0,0,0,0,1/2025
