CP,Colonia,RACH-F,RAN-F,RAT-F,RDV-F,RCV-F,RACH-S,RAN-S,RAT-S,RDV-S,RCV-S,Fecha,Periodo
37268,Belén,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37360,Bellavista,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37236,Benito Juárez,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37434,Betania,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37138,Bosque Azul,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37234,Bosque del Valle,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37295,Bosques (Misael Núñez),0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37555,Bosques de La Pradera,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37179,Bosques de La Presa,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37207,Bosques de la Selva,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37170,Bosques de los Cedros,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37210,Bosques de Los Naranjos,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37278,Bosques de Rentería,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37550,Bosques de San Andrés,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37295,Bosques de San Juan,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37125,Bosques del Campestre,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37294,Bosques del Carmen,0,0,0,0,2,0,0,0,0,0,1/2025,ENE-24
37238,Bosques del Pedregal,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37123,Bosques del Refugio,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37550,Bosques del Sur,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37550,Bosques Reales,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37100,Brisas de Echeveste,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37297,Brisas de San Francisco,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37297,Brisas de San Nicolás,4,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37669,Brisas del Campestre,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37297,Brisas del Campo,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37297,Brisas del Campo II,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37297,Brisas del Carmen,0,0,0,2,0,0,0,0,0,0,1/2025,ENE-24
37207,Brisas del Lago,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37295,Brisas del Pedregal,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37353,Brisas del Sol,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37238,Brisas del Vergel,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37669,Buenaventura,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37420,Buenavista,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37479,Buenos Aires,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37270,Bugambilias,2,2,0,0,2,0,0,0,0,0,1/2025,ENE-24
37294,Cabo Metropolitano,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37680,Camino a los Pirules,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37357,Camino a San Juan,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37538,Campestre de Jerez,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37696,Campestre el Rodeo (Lomas del Rodeo),0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37547,Campestre el Trébol,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37539,Campestre Nuevo Jerez,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37683,Campestre Rústico los Sauces,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37295,Campo Fuerte Residencial,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37434,Campo Verde,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37290,Campo Viña,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37238,Cañada de Alfaro,0,4,0,0,2,0,0,0,0,0,1/2025,ENE-24
37538,Cañada de Jerez,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37150,Cañada del Campestre,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37357,Cañada del Real,0,0,0,0,2,0,0,0,0,0,1/2025,ENE-24
37358,Cañada del Refugio,0,2,0,0,2,0,0,0,0,0,1/2025,ENE-24
37358,Cañada Diamante,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37669,Canah,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37668,Candora,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37654,Canelas,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37209,Cañón de La India,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37209,Cantarranas,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37100,Canteritas de Echeveste,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37547,Capellanía,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37685,Capellanía de Loera,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37689,Capellanía de San Sebastián,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37544,Capittala,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37210,Carmena,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37358,Cartagena,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37170,Casa Blanca,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37120,Casa de Piedra,0,2,0,0,0,0,0,0,0,0,1/2025,ENE-24
37545,Castello ll,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37209,Castillos Viejos,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37669,Cataluña,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37557,Caudal del Río,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37560,Cementos,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37490,Central de Abastos,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37000,Centro,2,6,0,0,4,0,0,0,0,0,1/2025,ENE-24
37227,Centro Bodeguero las Trojes,0,2,0,0,0,0,0,0,0,0,1/2025,ENE-24
37564,Centro de Prevención Social,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37357,Centro Familiar La Piedad,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37357,Centro Familiar Soledad,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37353,Cerrito Amarillo,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37353,Cerrito de Guadalupe,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37530,Cerrito de Jerez,0,6,0,0,2,0,0,0,0,0,1/2025,ENE-24
37353,Cerrito de La Joya,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37698,Cerro Alto,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37353,Chalet La Cumbre,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37340,Chapalita,2,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37427,Chulavista Pro Vivienda Obrera,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37204,Cibeles,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37353,Cima Diamante,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37683,Cipreses,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37110,Ciudad Aurora,0,2,0,0,2,0,0,0,0,0,1/2025,ENE-24
37564,Ciudad Industrial,0,4,0,0,4,0,0,0,0,0,1/2025,ENE-24
37400,Ciudad Satélite,0,2,0,0,2,0,0,0,0,0,1/2025,ENE-24
37299,Club Hípico,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37287,Club Loyola,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37355,Colina de La Hacienda,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37353,Colina Real,0,0,0,0,2,0,0,0,0,0,1/2025,ENE-24
37134,Colinas de Gran Jardín,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37358,Colinas de la Fragua,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37358,Colinas de La Fragua Plus,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37430,Colinas de León,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37210,Colinas de Plata,0,2,0,0,2,0,0,0,0,0,1/2025,ENE-24
37530,Colinas de San Isidro,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37530,Colinas de Santa Julia,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37299,Colinas del Carmen,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37440,Colinas San Francisco,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37353,Complejo La Cima,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37564,Condominio Industrial León,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37570,Conjunto habitacional Cedros,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37295,Conjunto habitacional Hera,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37148,Conjunto habitacional Los Nogales,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37355,Convive,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37669,Cordillera,2,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37433,Corral de Piedra,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37433,Cortijos de La Gloria,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37134,Country Club Gran Jardín,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37358,Country del Lago,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37294,Cristo Rey,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37357,Cruz de la Soledad,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37673,Cuesta Blanca,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37294,Cuesta del Rocío,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37369,Cumbres de Arbide,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37433,Cumbres de la Gloria,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37416,Cumbres de La Piscina,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37550,Cumbres de la Pradera,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37238,Cumbres de Medina,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37128,Cumbres del Campestre,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37440,Cumbres del Sol,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37358,Danubio Azul,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37683,De los Sauces,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37327,De Santiago,0,0,0,0,2,0,0,0,0,0,1/2025,ENE-24
37416,Del Cosmos (San Bernardo),0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37160,Del Rocío,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37549,Delta 2000,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37545,Delta de Jerez,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37318,Desarrollo Baleares,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37296,Desarrollo El Potrero,0,0,0,0,2,0,0,0,0,0,1/2025,ENE-24
37670,Duarte,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37100,Echeveste 2000,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37100,Echeveste Norte,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37490,Ecológico de León (Piel),0,0,0,0,2,0,0,0,0,0,1/2025,ENE-24
37547,El Álamo,4,2,0,0,2,0,0,0,0,0,1/2025,ENE-24
37670,El Alto de las Carreras,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37217,El Árbol,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37357,El Cacerío,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37125,El Campanario,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37698,El Capulín,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37299,El Carmen,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37296,El Carmen (C.T.M.),0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37209,El Castillo,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37688,El CERESO,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37209,El Chepinque,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37295,El Cid,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37669,El Cielo Residencial,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37260,El Coecillo,0,2,0,0,6,0,0,0,0,0,1/2025,ENE-24
37218,El Condado Plus,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
